Total words:  271  Unique words:  138 
Longest word:  consecrated

above         1 


add           1 


advanced      1 


ago           1 


all           1 


altogether    1 


any           1 


as            1 


battle        1 


before        1 


birth         1 


brave         1 


brought       1 


by            1 


cause         1 


civil         1 


come          1 


consecrate    1 


consecrated   1 


continent     1 


created       1 


detract       1 


did           1 


died          1 


do            1 


earth         1 


endure        1 


engaged       1 


equal         1 


fathers       1 


final         1 


fitting       1 


forget        1 


forth         1 


fought        1 


four          1 


freedom       1 


full          1 


god           1 


government    1 


ground        1 


hallow        1 


highly        1 


honored       1 


increased     1 


larger        1 


last          1 


liberty       1 


little        1 


live          1 


lives         1 


measure       1 


met           1 


might         1 


never         1 


nobly         1 


nor           1 


note          1 


now           1 


perish        1 


place         1 


poor          1 


portion       1 


power         1 


proper        1 


proposition   1 


remaining     1 


remember      1 


resolve       1 


resting       1 


say           1 


score         1 


sense         1 


seven         1 


should        1 


struggled     1 


take          1 


task          1 


testing       1 


their         1 


those         1 


thus          1 


under         1 


unfinished    1 


vain          1 


whether       1 


will          1 


work          1 


world         1 


years         1 


be            2 


but           2 


conceived     2 


dedicate      2 


devotion      2 


far           2 


field         2 


from          2 


gave          2 


living        2 


long          2 


men           2 


new           2 


on            2 


or            2 


our           2 


rather        2 


so            2 


these         2 


war           2 


what          2 


which         2 


are           3 


dead          3 


great         3 


is            3 


people        3 


shall         3 


they          3 


us            3 


who           3 


dedicated     4 


in            4 


this          4 


can           5 


for           5 


have          5 


it            5 


nation        5 


not           5 


of            5 


and           6 


a             7 


here          8 


to            8 


we            10 


the           11 


that          13 
